Path, Order, Cx, Cy
1, 1, 4878523.141421356, 2088421.0
1, 2, 4879022.858578644, 2088421.0
2, 1, 4878523.141421356, 2088395.0
2, 2, 4879022.858578644, 2088395.0
3, 1, 4878523.141421356, 2088432.798268
3, 2, 4879022.858578644, 2088432.798268
4, 1, 4878523.141421356, 2088383.201732
4, 2, 4879022.858578644, 2088383.201732
