"Codigo","Nombre","Categoria","Tecnologia","Estado","Departamento","Municipio","Ubicación","Altitud","LONGITUD","LATITUD","Fecha_instalacion","Fecha_suspension","Area Operativa","Corriente","Area Hidrografica","Zona Hidrografica","Subzona hidrografica","Entidad"
"0028040110","CARACOLICITO [28040110]","Pluviométrica","Convencional","Suspendida","Cesar","El Copey","    (-73.96666667, 10.2)","150","-73.96666667","10.2","15/01/1963","15/01/1972","Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés",,"Magdalena Cauca","Cesar","Río Ariguaní","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0015010030","GUACHACA 2 [15010030]","Pluviométrica","Convencional","Suspendida","Magdalena","Santa Marta","    (-73.85, 11.1)","750","-73.85","11.1","15/02/1969","15/05/1971","Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés",,"Caribe","Caribe - Guajira","Rio Guachaca - Mendiguaca y Buritaca","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0021255140","QUINTA LA [21255140]","Climatológica Principal","Convencional","Activa","Tolima","Lérida","    (-74.92063889, 4.8215)","429","-74.92063889","4.8215","15/02/1983",,"Area Operativa 10 - Tolima",,"Magdalena Cauca","Alto Magdalena","Río Lagunilla y Otros Directos al Magdalena","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"2620000043","COPACABANA - AUT  [2620000043]","Pluviográfica","Automática con Telemetría","Activa","Antioquia","Heliconia","    (-75.733638889, 6.206861111)","1,889","-75.733638889","6.206861111","07/03/2013",,"Area Operativa 01 - Antioquia-Chocó",,"Magdalena Cauca","Cauca","Directos Río Cauca  entre Río San Juan y  Pto Valdivia","CORPORACIÓN AUTÓNOMA REGIONAL DE ANTIOQUIA"
"0035030280","AMARGOZAL  [35030280]","Pluviométrica","Convencional","Activa","Cundinamarca","Fómeque","    (-73.81666667, 4.566666667)","3,500","-73.81666667","4.566666667","15/04/1966",,"Area Operativa 11 - Cundinamarca-Amazonas",,"Orinoco","Meta","Río Guayuriba","EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P"
"0029045190","AEROPUERTO E. CORTISSOZ - AUT [29045190]","Sinóptica Principal","Automática con Telemetría","Activa","Atlantico","Soledad","    (-74.77972222, 10.91777778)","14","-74.77972222","10.91777778","04/05/2005",,"Area Operativa 02 - Atlántico-Bolivar-Sucre",,"Magdalena Cauca","Bajo Magdalena","Directos al Bajo Magdalena entre Calamar y desembocadura","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0026170010","PUEBLORRICO  [26170010]","Pluviométrica","Convencional","Suspendida","Antioquia","Pueblorrico","    (-75.85, 5.783333333)","1,942","-75.85","5.783333333","15/01/1922","15/09/1960","Area Operativa 01 - Antioquia-Chocó",,"Magdalena Cauca","Cauca","Río Frío y Otros Directos al Cauca","ESTADÍSTICA DEPARTAMENTAL DE ANTIOQUIA"
"0028015110","MANAURE - AUT [28015110]","Climatológica Principal","Automática con Telemetría","Suspendida","Cesar","Manaure Balcón Del Cesar","    (-72.99763889, 10.36533333)","1,918","-72.99763889","10.36533333","17/08/2005","25/11/2024","Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés",,"Magdalena Cauca","Cesar","Medio Cesar","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0044010040","MINCHOY [44010040]","Pluviográfica","Convencional","Activa","Putumayo","San Francisco","    (-76.81708333, 1.202111111)","2,300","-76.81708333","1.202111111","15/11/1977",,"Area Operativa 07 - Nariño-Putumayo",,"Amazonas","Caquetá","Alto Caqueta","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"2403500363","ESTACIÓN VEREDA AGUA BLANCA - AUT [2403500363]","Climatológica Ordinaria","Automática con Telemetría","Activa","Boyacá","Tuta","    (-73.222186389, 5.670377222)","2,553","-73.222186389","5.670377222","09/10/2016",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Magdalena Cauca","Sogamoso","Río Chicamocha","CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ"
