,Unidades,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,DSS A,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota,RioBogota
,DSS B,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W4,W5,W6,W7,W8,W9
,DSS C,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC
Fecha DSS,DSS F,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1,P_TR2.33_4H_FSCALIF1
01Jan04,06:00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01Jan04,06:15,0.56554,0.53035,0.73031,0.90238,0.67845,1.47377,1.50546,0.53388,0.61107,1.74104,0.50131,0.73686,0.72270,0.69705,0.68064,1.02968,1.12942,0.52895,0.69550,0.67695,1.48307,0.62394,0.50433,1.28948,0.61236,0.71586,1.32627,1.32270,1.26975,0.91767,0.76053,1.07546,0.91929,0.81650,0.95365,1.73984,1.32948
01Jan04,06:30,1.13108,1.06069,1.46061,1.80476,1.35691,2.94754,3.01090,1.06775,1.22214,3.48207,1.00262,1.47371,1.44539,1.39410,1.36127,2.05936,2.25884,1.05790,1.39100,1.35390,2.96614,1.24788,1.00867,2.57895,1.22471,1.43172,2.65253,2.64538,2.53949,1.83534,1.52106,2.15092,1.83857,1.63300,1.90730,3.47968,2.65894
01Jan04,06:45,1.69662,1.59104,2.19092,2.70714,2.03536,4.42132,4.51636,1.60163,1.83322,5.22311,1.50393,2.21057,2.16809,2.09116,2.04191,3.08905,3.38826,1.58685,2.08650,2.03085,4.44922,1.87182,1.51300,3.86843,1.83707,2.14758,3.97880,3.96808,3.80924,2.75301,2.28159,3.22639,2.75786,2.44950,2.86095,5.21952,3.98842
01Jan04,07:00,2.26216,2.12139,2.92123,3.60953,2.71381,5.89509,6.02182,2.13551,2.44429,6.96414,2.00524,2.94742,2.89079,2.78821,2.72255,4.11873,4.51768,2.11580,2.78200,2.70781,5.93229,2.49577,2.01734,5.15791,2.44943,2.86344,5.30506,5.29077,5.07899,3.67068,3.04212,4.30185,3.67715,3.26601,3.81461,6.95937,5.31789
01Jan04,07:15,2.82769,2.65173,3.65154,4.51190,3.39227,7.36886,7.52726,2.66938,3.05536,8.70517,2.50655,3.68427,3.61349,3.48526,3.40319,5.14841,5.64710,2.64475,3.47750,3.38475,7.41536,3.11970,2.52167,6.44739,3.06179,3.57930,6.63132,6.61346,6.34873,4.58835,3.80265,5.37731,4.59643,4.08250,4.76825,8.69920,6.64736
01Jan04,07:30,3.39323,3.18208,4.38185,5.41429,4.07072,8.84263,9.03272,3.20326,3.66644,10.44621,3.00787,4.42113,4.33619,4.18231,4.08383,6.17810,6.77652,3.17370,4.17300,4.06171,8.89843,3.74365,3.02600,7.73687,3.67415,4.29516,7.95759,7.93615,7.61848,5.50602,4.56318,6.45277,5.51572,4.89901,5.72191,10.43905,7.97683
01Jan04,07:45,3.05391,2.86387,3.94366,4.87286,3.66365,7.95837,8.12945,2.88293,3.29979,9.40159,2.70708,3.97902,3.90257,3.76408,3.67544,5.56029,6.09887,2.85633,3.75570,3.65554,8.00859,3.36928,2.72340,6.96318,3.30673,3.86565,7.16183,7.14254,6.85663,4.95542,4.10686,5.80750,4.96415,4.40911,5.14971,9.39514,7.17915
01Jan04,08:00,2.71458,2.54566,3.50548,4.33143,3.25658,7.07410,7.22617,2.56261,2.93315,8.35697,2.40629,3.53690,3.46895,3.34585,3.26706,4.94248,5.42122,2.53896,3.33840,3.24937,7.11875,2.99492,2.42080,6.18949,2.93932,3.43613,6.36607,6.34892,6.09478,4.40482,3.65054,5.16222,4.41258,3.91921,4.57752,8.35124,6.38147
01Jan04,08:15,2.37526,2.22746,3.06729,3.79000,2.84950,6.18984,6.32290,2.24228,2.56651,7.31235,2.10551,3.09479,3.03533,2.92762,2.85868,4.32467,4.74356,2.22159,2.92110,2.84319,6.22890,2.62055,2.11820,5.41581,2.57190,3.00661,5.57031,5.55531,5.33294,3.85421,3.19422,4.51694,3.86101,3.42930,4.00533,7.30733,5.58378
01Jan04,08:30,2.03594,1.90925,2.62911,3.24857,2.44243,5.30558,5.41963,1.92196,2.19986,6.26773,1.80472,2.65268,2.60171,2.50939,2.45030,3.70686,4.06591,1.90422,2.50380,2.43702,5.33906,2.24619,1.81560,4.64212,2.20449,2.57710,4.77456,4.76169,4.57109,3.30361,2.73791,3.87166,3.30943,2.93940,3.43314,6.26343,4.78610
01Jan04,08:45,1.69662,1.59104,2.19092,2.70714,2.03536,4.42132,4.51636,1.60163,1.83322,5.22311,1.50393,2.21057,2.16809,2.09116,2.04191,3.08905,3.38826,1.58685,2.08650,2.03085,4.44922,1.87182,1.51300,3.86843,1.83707,2.14758,3.97880,3.96808,3.80924,2.75301,2.28159,3.22639,2.75786,2.44950,2.86095,5.21952,3.98842
01Jan04,09:00,1.35729,1.27283,1.75274,2.16571,1.62829,3.53705,3.61309,1.28130,1.46658,4.17848,1.20315,1.76845,1.73447,1.67292,1.63353,2.47124,2.71061,1.26948,1.66920,1.62468,3.55937,1.49746,1.21040,3.09475,1.46966,1.71807,3.18304,3.17446,3.04739,2.20241,1.82527,2.58111,2.20629,1.95960,2.28876,4.17562,3.19073
01Jan04,09:15,1.01797,0.95462,1.31455,1.62429,1.22122,2.65279,2.70982,0.96098,1.09993,3.13386,0.90236,1.32634,1.30086,1.25469,1.22515,1.85343,2.03296,0.95211,1.25190,1.21851,2.66953,1.12309,0.90780,2.32106,1.10224,1.28855,2.38728,2.38085,2.28554,1.65181,1.36895,1.93583,1.65472,1.46970,1.71657,3.13171,2.39305
