name,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
W1,1950,1950,12,12,-0.0031341910362243,-0.0022579347714781,0.0008762562647462,-0.0326084230716026,-0.00271736858930022,-0.00278440055747825,0.00022852169766594,-0.0031341910362243,-0.0031341910362243,-0.00287653241927425,-0.00255148392170665,0.0003250484975676
W3,1950,1950,12,12,-0.0031450112058968,-0.002602147190373,0.0005428640155238,-0.0337122032523198,-0.00280935027102665,-0.00280965012872315,0.000145874907166951,-0.0031450112058968,-0.0031450112058968,-0.00289947974295435,-0.0026761189061381,0.00022336083681625
W21,1950,1950,12,12,-0.0033338167885549,-0.0027431447003479,0.000590672088207,-0.0356261760386355,-0.00296884800321963,-0.0029985137960172,0.000153380901244328,-0.0033338167885549,-0.0033338167885549,-0.0030343318521771,-0.00282360283055545,0.00021072902162165
W13,1950,1950,12,12,-0.0032354069011279,-0.0025984886692397,0.0006369182318882,-0.034280060175382,-0.00285667168128183,-0.00285059204332975,0.00016946785498262,-0.0032354069011279,-0.0032354069011279,-0.0029239432782681,-0.0027452891171307,0.0001786541611374
W27,1950,1950,12,12,-0.0032707569189369,-0.0026143887080252,0.0006563682109117,-0.0345567371696228,-0.00287972809746857,-0.0028647852595895,0.000176591519205517,-0.0032707569189369,-0.0032707569189369,-0.00296276248991485,-0.002769342623651,0.00019341986626385
W19,1950,1950,12,12,-0.0031485447659517,-0.002537557439556,0.0006109873263957,-0.0336152550831073,-0.00280127125692561,-0.00280745561876085,0.000159128668427181,-0.0031485447659517,-0.0031485447659517,-0.0028778112339369,-0.00268531850419895,0.00019249272973795
W2,1950,1950,12,12,-0.0034096023688713,-0.0029516608143846,0.0004579415544867,-0.0380514763916526,-0.00317095636597105,-0.003184570154796,0.000133939271825553,-0.0034096023688713,-0.0034096023688713,-0.0032163720267514,-0.0030855146857599,0.0001308573409915
W11,1950,1950,12,12,-0.0031999390060941,-0.0025846945191119,0.0006152444869822,-0.034376568624747,-0.00286471405206225,-0.00289737597968985,0.000157974440788106,-0.0031999390060941,-0.0031999390060941,-0.0029372727920388,-0.0027393791941825,0.0001978935978563
W26,1950,1950,12,12,-0.003279544825011,-0.0026679647865833,0.0006115800384277,-0.0348571170263744,-0.00290475975219787,-0.0028883492791676,0.000169834985225082,-0.003279544825011,-0.003279544825011,-0.00298659784939815,-0.00279867629215355,0.0001879215572446
W20,1950,1950,12,12,-0.0033508794591559,-0.0027763444828825,0.0005745349762734,-0.0365395647519048,-0.0030449637293254,-0.0030543843163753,0.000149278193780948,-0.0033508794591559,-0.0033508794591559,-0.00310980319645315,-0.0029414237567437,0.00016837943970945
W6,1950,1950,12,12,-0.0031891052300731,-0.0023254252349336,0.0008636799951395,-0.032690146317084,-0.002724178859757,-0.00275154070307805,0.000262424920711142,-0.0031891052300731,-0.0031891052300731,-0.0028698835521936,-0.0025359373539686,0.000333946198225
W32,1950,1950,12,12,-0.0032838556980357,-0.0026402824550644,0.0006435732429713,-0.0356448183702103,-0.00297040153085086,-0.0029448479949439,0.00017219831395924,-0.0032838556980357,-0.0032838556980357,-0.0030735370215822,-0.00288583277674105,0.00018770424484115
W12,1950,1950,12,12,-0.0033706755878705,-0.0027985710096035,0.000572104578267,-0.0373847507687166,-0.00311539589739305,-0.0031200657909375,0.000161659683925241,-0.0033706755878705,-0.0033706755878705,-0.0032198623029644,-0.0030130528786671,0.0002068094242973
W33,1950,1950,12,12,-0.0031958972832858,-0.0023816621520266,0.0008142351312592,-0.0332305885817234,-0.00276921571514362,-0.0027846211183227,0.000235866156116092,-0.0031958972832858,-0.0031958972832858,-0.00290624843392275,-0.00256963347930975,0.000336614954613
W14,1950,1950,12,12,-0.0031714120305401,-0.0025234444298543,0.0006479676006858,-0.0348444467886501,-0.00290370389905418,-0.0028931067666944,0.000214320796257203,-0.0031714120305401,-0.0031714120305401,-0.003115991422157,-0.00274660665639585,0.00036938476576115
W28,1950,1950,12,12,-0.003105450168099,-0.0022846273000767,0.0008208228680223,-0.0334238982866341,-0.00278532485721951,-0.00280974028366435,0.000255930239861113,-0.003105450168099,-0.003105450168099,-0.00304831652665325,-0.0025753878368595,0.00047292868979375
W23,1950,1950,12,12,-0.0031414184545757,-0.0022972457822682,0.0008441726723075,-0.0331815849186116,-0.00276513207655097,-0.0027481597685352,0.000244442702109605,-0.0031414184545757,-0.0031414184545757,-0.00296225999399475,-0.00258702683033175,0.000375233163663
W34,1950,1950,12,12,-0.0031050033867359,-0.002284456975758,0.0008205464109779,-0.0334260836243624,-0.00278550696869687,-0.0028095599263906,0.000256171795561709,-0.0031050033867359,-0.0031050033867359,-0.0030484730377793,-0.00257518421858545,0.00047328881919385
W37,1950,1950,12,12,-0.003141274693719,-0.0022461240015871,0.0008951506921319,-0.0331202210599506,-0.00276001842166255,-0.0027351153182866,0.00027454060210106,-0.003141274693719,-0.003141274693719,-0.00301875240310155,-0.00254795869424075,0.0004707937088608
W36,1950,1950,12,12,-0.0031716739758849,-0.0023327376693487,0.0008389363065362,-0.0333259832113976,-0.00277716526761647,-0.00277133239433165,0.000241203481328172,-0.0031716739758849,-0.0031716739758849,-0.00297794397920365,-0.00258504273369905,0.000392901245504599
W10,1950,1950,12,12,-0.0030736979097127,-0.0021463199518621,0.0009273779578506,-0.0332411297131324,-0.00277009414276103,-0.0027949683135375,0.000280229519907967,-0.0030736979097127,-0.0030736979097127,-0.003006643615663,-0.00260390236508095,0.00040274125058205
W25,1950,1950,12,12,-0.0030586532342447,-0.0021842842984176,0.0008743689358271,-0.0328203409657118,-0.00273502841380932,-0.0027775695791196,0.000268123243762014,-0.0030586532342447,-0.0030586532342447,-0.0029686447995827,-0.002546204160508,0.0004224406390747
W4,1950,1950,12,12,-0.0034758832895102,-0.002734516371063,0.0007413669184472,-0.036823585907545,-0.00306863215896208,-0.0030781557587014,0.000185073727687105,-0.0034758832895102,-0.0034758832895102,-0.0031533523512983,-0.0029683907842183,0.00018496156708
W5,1950,1950,12,12,-0.0033570714654327,-0.0025634548285475,0.0007936166368852,-0.0354941252987466,-0.00295784377489555,-0.0029793203488583,0.000207944322614607,-0.0033570714654327,-0.0033570714654327,-0.0031040303438296,-0.00278915677844145,0.00031487356538815
W29,1950,1950,12,12,-0.0032861202536106,-0.0024622634990786,0.000823856754532,-0.0340156343041188,-0.0028346361920099,-0.00283829376481805,0.000213420668524582,-0.0032861202536106,-0.0032861202536106,-0.00298584693485525,-0.00264545175000325,0.000340395184852
W22,1950,1950,12,12,-0.0032398445764163,-0.0024892824956953,0.000750562080721,-0.0337065935818437,-0.00280888279848697,-0.0028056349232775,0.000207667396668923,-0.0032398445764163,-0.0032398445764163,-0.0029578432591193,-0.0026404551514343,0.000317388107685
W17,1950,1950,12,12,-0.0032089731866517,-0.0025221402641289,0.0006868329225228,-0.0337998212124285,-0.00281665176770238,-0.00279867413507935,0.00021071734582007,-0.0032089731866517,-0.0032089731866517,-0.0029798101434922,-0.0026583198389954,0.0003214903044968
W31,1950,1950,12,12,-0.0030702827498316,-0.0020983088761568,0.0009719738736748,-0.0325177824124687,-0.00270981520103906,-0.00278423866257065,0.000289282004920709,-0.0030702827498316,-0.0030702827498316,-0.00294511439278715,-0.00252154190093275,0.0004235724918544
W7,1950,1950,12,12,-0.0031257111688089,-0.0025969108459501,0.0005288003228588,-0.0346285974972355,-0.00288571645810296,-0.0028820757889332,0.000167421406031601,-0.0031257111688089,-0.0031257111688089,-0.0030520970219981,-0.0027398524810931,0.000312244540905
W16,1950,1950,12,12,-0.003096549157423,-0.0022883562513467,0.0008081929060763,-0.0335920010626609,-0.00279933342188841,-0.00285475014537955,0.000246070415328746,-0.003096549157423,-0.003096549157423,-0.00302324480975295,-0.00259605665778365,0.0004271881519693
W24,1950,1950,12,12,-0.003276877105236,-0.0025208937004208,0.0007559834048152,-0.0347072596972182,-0.00289227164143485,-0.00291313044726845,0.000205942164640242,-0.003276877105236,-0.003276877105236,-0.0030477192873756,-0.00270116670678055,0.000346552580595049
W9,1950,1950,12,12,-0.0029502296820282,-0.0022283609335621,0.0007218687484661,-0.0311406776309009,-0.00259505646924174,-0.00262842063481605,0.000237830576647649,-0.0029502296820282,-0.0029502296820282,-0.00279851164668795,-0.0023646104770402,0.00043390116964775
W15,1950,1950,12,12,-0.0031240365157524,-0.0024085991705457,0.0007154373452067,-0.0338004371151325,-0.00281670309292771,-0.00285232719033955,0.000222517208220104,-0.0031240365157524,-0.0031240365157524,-0.00301704307397205,-0.00263183455293375,0.0003852085210383
W35,1950,1950,12,12,-0.0031339937975728,-0.0024372838064759,0.0006967099910969,-0.0340181012120886,-0.00283484176767405,-0.00286633031435055,0.000215708351871573,-0.0031339937975728,-0.0031339937975728,-0.003034055285642,-0.0026529687880886,0.0003810864975534
W8,1950,1950,12,12,-0.0029888562858104,-0.0020306166261434,0.000958239659667,-0.0301646916195743,-0.00251372430163119,-0.0025323065929114,0.000304698547674592,-0.0029888562858104,-0.0029888562858104,-0.0027943928726017,-0.00222612870857115,0.00056826416403055
W18,1950,1950,12,12,-0.0029550641775131,-0.0020770421251654,0.0008780220523477,-0.0300991525873537,-0.00250826271561281,-0.0025150361470878,0.000286868329311038,-0.0029550641775131,-0.0029550641775131,-0.00277151307091115,-0.0022312738001346,0.00054023927077655
W30,1950,1950,12,12,-0.0028432598337531,-0.0021306965500116,0.0007125632837415,-0.0300868260674174,-0.00250723550561812,-0.0025568925775587,0.000233535177502696,-0.0028432598337531,-0.0028432598337531,-0.0027053862577304,-0.00228431425057345,0.00042107200715695
W1,1950,1951,12,12,-0.003107667590181,-0.0023440619309743,0.0007636056592067,-0.03300279037406,-0.00275023253117167,-0.002758404550453,0.000201515963309232,-0.003107667590181,-0.003107667590181,-0.00285883108153935,-0.0026227141109605,0.00023611697057885
W3,1950,1951,12,12,-0.0030905829727357,-0.0026136137556123,0.0004769692171234,-0.0340818684476754,-0.00284015570397295,-0.00282345927609945,0.000142941561598875,-0.0030905829727357,-0.0030905829727357,-0.0029231736626112,-0.00273836843253325,0.000184805230077949
W21,1950,1951,12,12,-0.0033080044360233,-0.0026708818382577,0.0006371225977656,-0.0360447018808501,-0.00300372515673751,-0.00300354241929905,0.000174978071188414,-0.0033080044360233,-0.0033080044360233,-0.0030980909314851,-0.00289084524751825,0.00020724568396685
W13,1950,1951,12,12,-0.0032910341708503,-0.0026198891095443,0.000671145061306,-0.0349923875849405,-0.00291603229874504,-0.0029071811790599,0.000195531581387478,-0.0032910341708503,-0.0032910341708503,-0.003032190982248,-0.00278267778229085,0.00024951319995715
W27,1950,1951,12,12,-0.0033327550627291,-0.0025709071196615,0.0007618479430676,-0.0352113854605698,-0.00293428212171415,-0.0029027143027633,0.000212371413520541,-0.0033327550627291,-0.0033327550627291,-0.0030778765212744,-0.0028013281989842,0.0002765483222902
