name,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
W1,1950,1950,12,12,0.0003672589858373,0.0053230126698811,0.0049557536840438,0.0198769383132454,0.00165641152610378,0.001346247891585,0.00131123831629131,0.0003672589858373,0.0003672589858373,0.00074507296085355,0.0022556421657403,0.00151056920488675
W3,1950,1950,12,12,0.0005400067364158,0.0060788793145366,0.0055388725781208,0.0284004918401049,0.00236670765334207,0.0021097596186302,0.00156577114519667,0.0005400067364158,0.0005400067364158,0.00110572972060525,0.0030716241872186,0.00196589446661335
W21,1950,1950,12,12,0.0005172405682508,0.0045031215585939,0.0039858809903431,0.0258365580528348,0.0021530465044029,0.0017546886671283,0.00114191824493806,0.0005172405682508,0.0005172405682508,0.0013360486585228,0.00308861994393915,0.00175257128541635
W13,1950,1950,12,12,0.0003479000428339,0.0044269219861078,0.0040790219432739,0.0222424943459474,0.00185354119549562,0.00153074699590585,0.00115394511046185,0.0003479000428339,0.0003479000428339,0.0009403961685245,0.0026525982309479,0.0017122020624234
W27,1950,1950,12,12,0.0003563053905963,0.0050359368324279,0.0046796314418316,0.0261527597904199,0.00217939664920166,0.00186968408524985,0.00145110212546793,0.0003563053905963,0.0003563053905963,0.00088449567556375,0.0030840523540973,0.00219955667853355
W19,1950,1950,12,12,0.0003772007179157,0.0080173066977166,0.0076401059798009,0.0361271457434729,0.00301059547862274,0.0031197858515049,0.00226936623434864,0.0003772007179157,0.0003772007179157,0.00098494016864625,0.0035977306165358,0.00261279044788955
W2,1950,1950,12,12,0.0009724746147791,0.0121817315618197,0.0112092569470406,0.0536691881716247,0.00447243234763539,0.00433367118239395,0.00309277521287687,0.0009724746147791,0.0009724746147791,0.0015818867832422,0.00533163795868555,0.00374975117544335
W11,1950,1950,12,12,0.000438997428842,0.0105871607892946,0.0101481633604526,0.043466908503607,0.00362224237530058,0.003588450546443,0.00282721811937612,0.000438997428842,0.000438997428842,0.0011255679628244,0.0044197824511714,0.003294214488347
W26,1950,1950,12,12,0.0003893846490866,0.0074551172758629,0.0070657326267763,0.034698281042221,0.00289152342018508,0.0029904927680965,0.00209818970300984,0.0003893846490866,0.0003893846490866,0.0009303020057889,0.0036566806442357,0.0027263786384468
W20,1950,1950,12,12,0.0006593686549448,0.0097162772524288,0.009056908597484,0.0427941034262233,0.00356617528551861,0.0035912987036889,0.00249803469589278,0.0006593686549448,0.0006593686549448,0.001257766125434,0.00417334566988035,0.00291557954444635
W6,1950,1950,12,12,0.0002106502652168,0.0022790630658467,0.0020684128006299,0.0143009362121417,0.00119174468434514,0.00097759192188575,0.000753359138574458,0.0002106502652168,0.0002106502652168,0.0004884153604507,0.00198817873994505,0.00149976337949435
W32,1950,1950,12,12,0.0004869869673648,0.0076978985408082,0.0072109115734434,0.0369818302029936,0.0030818191835828,0.0030150384480362,0.00208801538101023,0.0004869869673648,0.0004869869673648,0.0011490865109561,0.003958119461928,0.0028090329509719
W12,1950,1950,12,12,0.0011202960840367,0.0080204056483812,0.0069001095643445,0.0485620800737268,0.0040468400061439,0.00432713594382585,0.00215053771886318,0.0011202960840367,0.0011202960840367,0.00182727820721075,0.0052802265140804,0.00345294830686965
W33,1950,1950,12,12,0.0002984337233856,0.0039293421886244,0.0036309084652388,0.0243064693701482,0.00202553911417902,0.00196475311850095,0.00124557205169412,0.0002984337233856,0.0002984337233856,0.00078700406159365,0.0031483009422702,0.00236129688067655
W14,1950,1950,12,12,0.0005627503769773,0.0072481160551754,0.0066853656781981,0.0511104455201412,0.0042592037933451,0.0046688719503284,0.00243115241284147,0.0005627503769773,0.0005627503769773,0.00201617257775815,0.00679114708936445,0.0047749745116063
W28,1950,1950,12,12,0.0003777069833204,0.0070210899252251,0.0066433829419047,0.0453593774945547,0.00377994812454623,0.00406679757798295,0.00232757681330585,0.0003777069833204,0.0003777069833204,0.00160618125201125,0.0060213994890672,0.00441521823705595
W23,1950,1950,12,12,0.0003280727177966,0.0049184696881697,0.0045903969703731,0.0340704854256571,0.00283920711880476,0.0032175854867852,0.00169220884674012,0.0003280727177966,0.0003280727177966,0.0011922842697544,0.0046060485624867,0.0034137642927323
W34,1950,1950,12,12,0.0003783479332923,0.0070459246635437,0.0066675767302514,0.0454793274402613,0.00378994395335511,0.00407558679580685,0.00233438673006252,0.0003783479332923,0.0003783479332923,0.0016108117997646,0.00603570789098735,0.00442489609122275
W37,1950,1950,12,12,0.0004732616666922,0.006117325813416,0.0056440641467238,0.0414819126919338,0.00345682605766115,0.00382926727766215,0.00201628113097731,0.0004732616666922,0.0004732616666922,0.0015947088756053,0.00541810742817515,0.00382339855256985
W36,1950,1950,12,12,0.0006553009152412,0.0103134140372276,0.0096581131219864,0.0690478794276708,0.0057539899523059,0.0061031281948089,0.0032155120699166,0.0006553009152412,0.0006553009152412,0.00309652090072625,0.0084631200879812,0.00536659918725495
W10,1950,1950,12,12,0.0005918443202972,0.0089225079864263,0.0083306636661291,0.0577113535255188,0.0048092794604599,0.00522384140640495,0.00276365077882606,0.0005918443202972,0.0005918443202972,0.00241545028984545,0.00688968878239385,0.0044742384925484
W25,1950,1950,12,12,0.0006552792455977,0.010542180622641,0.0098869013770433,0.06977931937061,0.00581494328088417,0.00604979299824525,0.00325959279064377,0.0006552792455977,0.0006552792455977,0.0031452316696065,0.00862199970876845,0.00547676803916195
W4,1950,1950,12,12,0.0020065201805458,0.0093973093077093,0.0073907891271635,0.0660572343452624,0.00550476952877187,0.0059140297740966,0.00237745561465956,0.0020065201805458,0.0020065201805458,0.0028773268452274,0.00754133491001815,0.00466400806479075
