name,Decade,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
W1,1950,10,10,0.0250171614267546,0.0563123297567161,0.0312951683299615,0.384895965922618,0.0384895965922618,0.0365431704461413,0.00875459983477344,0.0250171614267546,0.0250171614267546,0.0320543441533416,0.0467961595859374,0.0147418154325958
W3,1950,10,10,0.0308734927872819,0.0639268648446066,0.0330533720573247,0.447552263459528,0.0447552263459528,0.0421970652587118,0.00964380019321787,0.0308734927872819,0.0308734927872819,0.0376891666047526,0.0538335912388501,0.0161444246340975
W21,1950,10,10,0.0337337875682248,0.0668409180466782,0.0331071304784534,0.475333076027092,0.0475333076027092,0.0473125040772295,0.0102226633140357,0.0337337875682248,0.0337337875682248,0.0401869488696971,0.0533266674617096,0.0131397185920125
W13,1950,10,10,0.027457626140732,0.0641536350228137,0.0366960088820817,0.436252169611757,0.0436252169611757,0.0427388174036204,0.0112212483185877,0.027457626140732,0.027457626140732,0.0348468300526222,0.0531815609563333,0.0183347309037111
W27,1950,10,10,0.0287344449898222,0.0662016168935219,0.0374671719036997,0.455142849677936,0.0455142849677935,0.0438503934710748,0.0109577075276925,0.0287344449898222,0.0287344449898222,0.0366416354663664,0.0560345032718027,0.0193928678054363
W19,1950,10,10,0.0342347108678102,0.0707598258306608,0.0365251149628506,0.507584794812348,0.0507584794812348,0.0477009230403247,0.00971881333111947,0.0342347108678102,0.0342347108678102,0.0468138451265465,0.0569305226390235,0.010116677512477
W2,1950,10,10,0.0529615085882439,0.0926824799583598,0.0397209713701159,0.710562666334827,0.0710562666334827,0.0717710433042758,0.0107542398088523,0.0529615085882439,0.0529615085882439,0.0652425475224536,0.0726037916804967,0.0073612441580431
W11,1950,10,10,0.0399797061758207,0.0786453061014224,0.0386655999256017,0.578693335255808,0.0578693335255808,0.0570116415989835,0.0102086621417485,0.0399797061758207,0.0399797061758207,0.0525329149360601,0.0615017013397897,0.0089687864037296
W26,1950,10,10,0.0340510392845936,0.0722253299215409,0.0381742906369473,0.514520957563143,0.0514520957563143,0.0490316520087633,0.0104054557535241,0.0340510392845936,0.0340510392845936,0.0449490026592169,0.0593529101301557,0.0144039074709388
W20,1950,10,10,0.0425545758729597,0.0813826372817147,0.038828061408755,0.603666918152301,0.0603666918152301,0.0585027513804225,0.0104791053695856,0.0425545758729597,0.0425545758729597,0.0556024395570582,0.0662787458080077,0.0106763062509495
