station,name,latitude,longitude,tr,pmax24hr,n,p_dist
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,20.0,933.5579162582804,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,25.0,1041.9272642932424,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,50.0,1396.016877533897,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,75.0,1612.947472951384,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,100.0,1770.3803403193872,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,200.0,2159.573070315423,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,250.0,2287.3962654459456,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,500.0,2690.9093841736853,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,750.0,2930.854232772659,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,1000.0,3102.603787857044,5,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,2.0,141.56381826678222,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,2.33,158.72007367486844,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,5.0,228.17433356429365,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,10.0,279.3511974727713,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,15.0,306.4548488252456,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,20.0,324.7779319802423,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,25.0,338.55878366059227,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,50.0,379.4077130701276,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,75.0,402.18105379232526,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,100.0,417.9256964252966,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,200.0,454.6700110965821,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,250.0,466.18611554317823,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,500.0,501.13403749446496,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,750.0,521.066021624885,9,gamma
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,1000.0,535.0054979648512,9,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,2.0,104.95844736330152,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,2.33,123.6909475853918,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,5.0,245.6291542652984,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,10.0,380.91278612729286,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,15.0,466.4634189927568,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,20.0,529.241292754978,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,25.0,578.9219564722978,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,50.0,737.6775628863497,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,75.0,833.046815754182,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,100.0,901.6178538459324,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,200.0,1069.3946136168122,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,250.0,1124.0676952632227,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,500.0,1295.599240730122,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,750.0,1396.9744629833651,8,gamma
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,1000.0,1469.3035304750044,8,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,2.0,68.54999563261434,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,2.33,73.82671326743649,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,5.0,108.91423810254985,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,10.0,148.41207730157714,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,15.0,173.52071571636833,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,20.0,191.9853524061839,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,25.0,206.6159351237215,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,50.0,253.4479196351289,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,75.0,281.6246213433475,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,100.0,301.89891568055623,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,200.0,351.5468121504064,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,250.0,367.735938962611,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,500.0,418.5540121627407,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,750.0,448.6031602662118,17,gamma
11047040,QUIBDO [11047040],5.697778056,-76.66222222,1000.0,470.04853327824907,17,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,2.0,124.21155211883342,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,2.33,133.00923511423434,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,5.0,166.13308912518028,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,10.0,188.4816909590336,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,15.0,199.74656576985052,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,20.0,207.16434902176024,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,25.0,212.6454560889315,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,50.0,228.438117780355,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,75.0,236.9712992990003,6,gamma
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,100.0,242.76632393905243,6,gamma
